Ortsnetz,Landkreis,BezirkNR,Bezirk,1840,1875,1880,1885,1890,1895,1900,1905,1910,Region,Longitude,Latitude,NNID,NameGNU,PostOffice,PostRevenues,PostBahn,Bahnbezirk,RankRailWeight,TotalRailWeight,SentRailWeight,RankRailRevenues,RailRevenues,CollectedNachnahme,PaidNachnahme
Penzberg,Weilheim,79,Weilheim,413,1795,2267,2554,3542,3893,4784,5205,5533,OB,11.37611,47.75166,DEBKGGND00000KH5,Penzberg,E,3718.22,1,M,583,113420.32,109402.98,477,60823,15172,3832
Pfaffenhofen,Pfaffenhofen,72,Pfaffenhofen,1905,2756,2982,3456,3444,3596,3822,4148,4541,OB,11.50361,48.52972,DEBKGGND000002KA,Pfaffenhofen a.d. Ilm,E,13505.2,0,I,407,8832.54,3251.93,515,87704,27875,8699
Pfarrkirchen,Pfarrkirchen,42,Pfarrkirchen,1752,2235,2412,2471,2631,2775,2879,3253,3518,NB,12.93777,48.43194,DEBKGGND00000D6R,Pfarrkirchen,E,11802.92,0,Rm,269,3918.76,1526.63,456,51662,24685,2669
Pirmasens,Pirmasens,127,Pirmasens,41002,45220,48200,50383,57360,62460,71072,78217,86981,PF,7.608055,49.19722,DEBKGGND00000HDE,Pirmasens,E,112658.33,0,Z,0,0,0,0,0,0,0
Planegg,Muenchen,71,MuenchenLandI,426,610,656,700,808,859,1339,1395,1809,OB,11.42444,48.10555,DEBKGGND00000CDS,Planegg,E,2959.12,1,M,270,3926.36,1495.7,412,38588,12660,4457
Plattling,Deggendorf,31,DeggendorfLand,1254,2166,2744,2645,2773,3235,3888,4638,5244,NB,12.87333,48.77638,DEBKGGND000005QN,Plattling,E,6928.34,0,Rg,464,11891.51,5059.67,563,172464,33873,26441
Pocking,Griesbach,35,Griesbach,900,1099,1211,1320,1327,1450,1505,1716,1887,NB,13.31027,48.40027,DEBKGGND000000RN,Pocking,E,3970.5,1,Rm,243,3457.54,1198.68,366,29923,9222,2233
Pretzfeld,Ebermannstadt,87,Ebermannstadt,868,773,795,771,726,706,718,715,748,OF,11.17361,49.75611,DEBKGGND000004GB,Pretzfeld,E,2896.49,0,Z,0,0,0,0,0,0,0
Prien,Rosenheim,73,RosenheimAibling,908,1384,1713,1682,1707,1865,2108,2361,2510,OB,12.34416,47.85555,DEBKGGND000001BV,Prien a. Chiemsee,E,12572.21,0,Z,0,0,0,0,0,0,0
Rain,Neuburg,153,NeuburgLand,1302,1436,1449,1415,1420,1482,1538,1557,1592,SC,10.92083,48.69027,DEBKGGND000006R6,Rain,E,7035.98,1,I,333,5761.31,2106,377,32329,11859,2374
Regen,Regen,43,Regen,1291,2404,2153,2184,2231,2208,2366,2580,2828,NB,13.13083,48.97444,DEBKGGND00000G74,Regen,E,10349.77,0,Rm,526,27291.54,22676.09,485,6899,25091,8821
Regensburg,Regensburg,102,Regensburg,21942,31504,34516,36093,37934,41471,45429,48801,52624,OP,12.09694,49.01722,DEBKGGND00000FNK,Regensburg,HE,257840.63,0,R,589,199148.87,68359.85,618,2304846,413076,733176
Regenstauf,Regensburg,114,RegensburgLand,1732,2032,2094,2137,2040,2138,2217,2343,2413,OP,12.12777,49.12277,DEBKGGND00000CCJ,Regenstauf,E,3863.21,1,Wn,220,2996.07,1839.44,306,22216,2138,2768
Rehau,Rehau,97,Rehau,2578,3333,3416,3463,3552,3832,4167,5358,6045,OF,12.03555,50.24833,DEBKGGND00000QYB,Rehau,E,9092.09,1,Wn,472,13334.17,4596.55,455,51314,28333,6650
Riedenburg,Riedenburg,104,BeilngriesRiedenburg,1153,1325,1472,1513,1543,1658,1618,1823,1837,OP,11.6875,48.96361,DEBKGGND00000GQY,Riedenburg,E,5025.75,0,Z,0,0,0,0,0,0,0
Rockenhausen,Rockenhausen,123,Kaiserslautern,1860,1840,1868,1846,1774,1807,1822,1849,1904,PF,7.821944,49.62888,DEBKGGND00000G3K,Rockenhausen,E,4638.82,0,Z,0,0,0,0,0,0,0
Roding,Roding,115,Roding,1120,1367,1383,1296,1312,1422,1454,1433,1348,OP,12.06694,49.19222,DEBKGGND000006Z8,Roding,E,3788.56,1,Wn,259,3750.36,2550.2,305,22063,5440,4044
Rosenheim,Rosenheim,73,RosenheimAibling,3090,7501,8397,9257,10090,12196,14246,15409,15969,OB,12.12527,47.85527,DEBKGGND000007GO,Rosenheim,Amt,52327.45,1,R,573,87275,52010.92,608,753734,195750,220041
Roth,Schwabach,23,SchwabachLand,2454,2604,2872,3456,3323,3751,4049,4826,5307,MF,11.09166,49.24611,DEBKGGND00000QHY,Roth,E,11985.75,1,N,445,10406.18,2774.37,518,88940,19870,4141
Rothenburg,Rothenburg,7,Rothenburg,5231,5773,6504,6826,7001,7193,7923,8436,8612,MF,10.17861,49.38027,DEBKGGND00000SXE,Rothenburg ob der Tauber,E,25380.73,0,Wg,453,10701.91,2622.49,551,137782,35965,9115
RothenkirchenTeuschnitz,Kronach,91,KronachTeuschnitz,599,686,794,765,777,735,763,788,842,OF,11.31805,50.3625,DEBKGGND00000R9D,Rothenkirchen,E,1591.02,0,Z,0,0,0,0,0,0,0
Rott,Wasserburg,78,Wasserburg,692,888,1244,1261,1242,1331,1364,1463,1509,OB,12.1275,47.98305,DEBKGGND00000CJX,Rott a. Inn,E,1744.75,1,rm,164,1953.67,1205.64,281,19019,6758,1553
Rottenburg,Rottenburg,44,RottenburgMainburg,583,985,1025,1089,1045,1094,1124,1249,1295,NB,12.02694,48.70305,DEBKGGND00000LAP,Rottenburg a.d. Laaber,E,4691.55,0,Z,0,0,0,0,0,0,0
Ruelzheim,Germersheim,121,Germersheim,2731,3275,3065,3091,3183,3201,3370,3526,3465,PF,8.293333,49.155,DEBKGGND00000HNV,Rülzheim,E,4225.94,0,Z,0,0,0,0,0,0,0
Rupprechtstegen,Hersbruck,17,HersbruckLauf,417,520,508,487,501,456,478,474,524,MF,11.47388,49.58583,DEBKGGND00000D6N,Enzendorf,E,885.6,1,N,440,10293.72,8565.36,323,23626,7631,1285
SanktIngbert,SanktIngbert,129,ZweibrueckenStIngbert,4015,9220,9811,10321,10847,12278,14050,15521,17278,PF,7.115,49.27888,DEBKGGND00000XGY,St. Ingbert,E,19188.16,0,Z,0,0,0,0,0,0,0
Schaftlach,Miesbach,69,Miesbach,420,544,556,552,575,538,563,586,649,OB,11.68527,47.79083,DEBKGGND0000025R,Schaftlach,E,2148.49,1,M,524,25686.84,16320.64,521,91741,42617,8468
Scheslitz,Bamberg,83,BambergLandI,1077,1260,1383,1329,1297,1281,1225,1254,1301,OF,11.03611,49.97472,DEBKGGND00000LI6,Scheßlitz,E,3806.33,0,Z,0,0,0,0,0,0,0
Schifferstadt,Speyer,128,SpeyerLudwigshafen,3332,4112,4635,4865,5002,5244,6075,7505,8408,PF,8.374444,49.38472,DEBKGGND00000BZR,Schifferstadt,E,1962.48,0,Z,0,0,0,0,0,0,0
Schillingsfuerst,Rothenburg,21,RothenburgLand,1482,1625,1640,1615,1630,1631,1526,1599,1558,MF,10.25972,49.28638,DEBKGGND00000473,Schillingsfürst,E,5086,0,Z,0,0,0,0,0,0,0
Schleissheim,Muenchen,71,MuenchenLandI,616,957,918,911,969,1048,1056,1169,1392,OB,11.55416,48.25555,DEBKGGND00000RIR,Oberschleißheim,E,1721.41,1,Rg,395,7926.21,3271.15,319,23315,6988,1172
Schliersee,Miesbach,69,Miesbach,675,1204,1514,1436,1825,1925,2269,2560,3123,OB,11.85944,47.73722,DEBKGGND00000QNG,Schliersee,E,4164.75,1,M,487,15710.36,12240.31,379,32596,11789,6225
Schnaittach,Lauf,17,HersbruckLauf,1515,1627,1737,1703,1590,1726,1809,1857,1994,MF,11.34083,49.55944,DEBKGGND00000UXX,Schnaittach,E,4051.4,1,N,330,5580.95,1603.42,405,36672,9558,1318
Schongau,Schongau,74,Schongau,1555,1825,1814,1815,1977,2144,2472,2771,3247,OB,10.9,47.80972,DEBKGGND00000LRN,Schongau,E,8469.4,0,Z,0,0,0,0,0,0,0
Schrobenhausen,Schrobenhausen,75,Schrobenhausen,1884,2591,2726,2909,2918,2981,3104,3374,3631,OB,11.26472,48.55888,DEBKGGND00000HEX,Schrobenhausen,E,15452.07,1,I,494,16789.87,10684.42,517,88915,40470,5349
Schwabach,Schwabach,8,Schwabach,6981,7024,7513,7670,8104,8404,9385,10347,11195,MF,11.02444,49.32861,DEBKGGND000009H6,Schwabach,E,24950.31,0,N,538,31344.82,16101.08,573,217361,43958,16973
Schwaben,Ebersberg,60,Ebersberg,751,1058,1141,1210,1263,1265,1442,1578,1829,OB,11.86833,48.19083,DEBKGGND000008BL,Markt Schwaben,E,3474.71,1,M,402,8274.92,7290.15,385,33221,11544,5557
Schwabmuenchen,Schwabmuenchen,140,AugsburgSchwabmuenchen,2434,2726,2828,2979,2930,3224,3514,3601,3761,SC,10.7575,48.17888,DEBKGGND00000F5M,Schwabmünchen,E,10969.77,1,A,484,14587.72,9856.15,492,71171,28412,9179
Schwandorf,Schwandorf,105,Burglengenfeld,1737,3523,4139,4350,4436,5263,6095,6641,7406,OP,12.10555,49.3275,DEBKGGND00000EAH,Schwandorf,E,14304.47,0,wn,527,17596.59,10166.69,570,209218,48874,25835
Schwarzenbach,Hof,90,HofLand,3050,3984,3793,3815,3883,3938,4185,4252,4534,OF,11.93805,50.22083,DEBKGGND000008TI,Schwarzenbach a.d. Saale,E,11235.66,1,B,495,16795.61,5809.32,523,93061,30524,16019
Schweinfurt,Schweinfurt,161,Schweinfurt,7347,11233,12601,12502,12472,13514,15302,18463,22194,UF,10.23166,50.04555,DEBKGGND00000SPP,Schweinfurt,Amt,105495.49,0,B,568,65999.97,25887.06,603,635245,120028,110433
Seeshaupt,Weilheim,79,Weilheim,246,338,365,404,411,424,553,611,630,OB,11.30083,47.825,DEBKGGND00000PNF,Seeshaupt,E,1538.51,1,M,217,2921.85,2397.44,163,9941,3034,2643
Selb,Selb,97,Rehau,3140,4760,5098,5206,5426,6154,7213,8431,10500,OF,12.13055,50.16972,DEBKGGND000006SX,Selb,E,12935.15,1,Wn,546,34575.87,7602.08,554,142990,33070,39834
Siegsdorf,Traunstein,77,TraunsteinLand,850,996,1002,1050,1106,1118,1245,1298,1425,OB,12.64166,47.82111,DEBKGGND00000S4J,Siegsdorf,E,2587.8,0,Z,0,0,0,0,0,0,0
Simbach,Pfarrkirchen,42,Pfarrkirchen,1311,2875,3025,3208,3158,3287,3757,3978,4339,NB,13.02722,48.2675,DEBKGGND00000WNU,Simbach a. Inn,A,7275.2,1,M,545,33406.18,21012.27,579,254997,370399,1295488
Sonthofen,Sonthofen,156,Sonthofen,1912,2999,3113,3070,3078,3318,3775,3926,4188,SC,10.28111,47.51222,DEBKGGND000002TC,Sonthofen,E,14553.13,1,K,533,29834.06,15607.39,564,173538,53958,32582
Spalt,Schwabach,23,SchwabachLand,1752,1813,1944,2060,1971,1916,1858,1829,1805,MF,10.92472,49.17638,DEBKGGND000001AC,Spalt,E,4168.45,1,N,297,4468.26,801.51,383,32971,15049,4014
Speyer,Speyer,128,SpeyerLudwigshafen,11147,14321,15589,16238,17587,19044,20921,21856,23045,PF,8.434166,49.31722,DEBKGGND00000JCP,Speyer,HE,102591.24,0,Z,0,0,0,0,0,0,0
Spiegelau,Grafenau,34,Grafenau,401,1011,946,975,976,941,1010,1166,1396,NB,13.36,48.91527,DEBKGGND00000ST3,Spiegelau,E,2037.38,0,Z,0,0,0,0,0,0,0
Stadtlauringen,Hofheim,173,KoenigshofenHofheim,683,784,789,786,758,757,939,1023,985,UF,10.35972,50.18722,DEBKGGND00000IE5,Stadtlauringen,E,2793.07,0,Z,0,0,0,0,0,0,0
Staffelstein,Staffelstein,99,Staffelstein,1309,1787,1914,1870,1632,1674,1724,1779,1850,OF,10.99972,50.10138,DEBKGGND000004LM,,E,6661.15,1,B,352,6086.73,1871.97,458,53520,34794,7471
Starnberg,Muenchen,71,MuenchenLandI,539,1447,1587,1768,1832,2229,2853,3257,3633,OB,11.33805,47.99666,DEBKGGND00000B91,Starnberg,V,12257.65,1,M,431,9870.46,3682.44,513,87300,24420,9890
Straskirchen,Straubing,45,StraubingLand,527,697,759,826,874,944,960,982,1043,NB,12.72361,48.83,DEBKGGND000001BH,Straßkirchen,E,2790.91,0,Z,0,0,0,0,0,0,0
Straubing,Straubing,29,Straubing,8825,11590,12625,13210,13856,15595,17541,20856,22021,NB,11.80722,48.88694,DEBKGGND00000Q7Q,Staubing,V,59524.53,0,Rg,559,50250.36,2294.61,593,395313,67111,51369
Suenching,Regensburg,114,RegensburgLand,790,1338,1410,1381,1420,1466,1495,1432,1450,OP,12.35361,48.88,DEBKGGND000009AA,Sünching,E,3038.83,1,Rg,415,9291.04,3975.34,450,49515,3963,1678
Sulzbach,Sulzbach,117,Sulzbach,2946,4379,4668,4670,5015,5466,5604,5817,5480,OP,11.75611,49.49555,DEBKGGND00000NV3,Sulzbach-Rosenberg,E,10965.6,0,N,379,7250.99,1715.15,498,74183,16510,10129
Tann,Pfarrkirchen,42,Pfarrkirchen,1173,1231,1285,1273,1226,1214,1257,1256,1250,NB,12.89055,48.315,DEBKGGND00000WKE,Tann,E,5378.26,0,Z,0,0,0,0,0,0,0
Taufkirchen,Erding,61,Erding,741,1052,1078,1119,1140,1161,1253,1274,1354,OB,12.13055,48.34333,DEBKGGND000005SL,Taufkirchen (Vils),E,2643.46,0,Z,0,0,0,0,0,0,0
Tegernsee,Miesbach,69,Miesbach,755,1235,1270,1330,1472,1395,1619,1742,1904,OB,11.755,47.70861,DEBKGGND000009PC,Tegernsee,E,18836.11,0,Z,0,0,0,0,0,0,0
Teisendorf,Laufen,68,Laufen,780,1088,1088,1111,1126,1229,1363,1396,1501,OB,12.82055,47.85,DEBKGGND0000019R,Teisendorf,E,6774.86,1,Rm,408,8834.51,6122.55,486,69418,25017,5708
Thannhausen,Krumbach,148,Krumbach,1620,1563,1636,1624,1570,1553,1564,1596,1662,SC,10.47,48.2825,DEBKGGND000000DO,Thannhausen,E,3926.31,0,Z,0,0,0,0,0,0,0
Thurnau,Kulmbach,92,Kulmbach,1399,1224,1364,1366,1340,1337,1294,1279,1311,OF,11.39333,50.02472,DEBKGGND00000KSB,Thurnau,E,4072.23,0,Z,0,0,0,0,0,0,0
Tirschenreuth,Tirschenreuth,118,Tirschenreuth,2279,2559,2769,2862,3105,3613,3860,4457,4889,OP,12.33666,49.87805,DEBKGGND00000Q1Z,Tirschenreuth,E,9838.3,0,Wn,506,19604.17,13059.36,467,56213,20623,16645
Tittling,Passau,41,PassauWegscheid,1477,1747,1812,1896,1869,1964,1965,2122,2384,NB,13.38305,48.72694,DEBKGGND00000NGP,Tittling,E,3314.55,0,Z,0,0,0,0,0,0,0
Toepen,Hof,90,HofLand,1024,1064,1070,921,880,832,794,803,809,OF,11.87333,50.38916,DEBKGGND00000WHG,Töpen,N,0,0,Z,0,0,0,0,0,0,0
Traunstein,Traunstein,55,Traunstein,2029,4466,4851,4909,5407,6006,6845,7447,7686,OB,12.64888,47.87166,DEBKGGND0000078J,Traunstein,V,37031.71,1,Rm,558,50058.67,37018.06,585,341161,115648,40476
Treuchtlingen,Weissenburg,25,WeissenburgLand,1499,2245,2413,2701,2811,3075,3242,3757,3858,MF,10.90916,48.955,DEBKGGND000002P7,Treuchtlingen,V,12370.43,1,I,334,5765.79,3385.1,504,77546,14061,5627
Trostberg,Traunstein,77,TraunsteinLand,958,1320,1419,1502,1587,1514,1738,1715,2127,OB,12.55638,48.02722,DEBKGGND00000MGM,Trostberg,E,8237.69,0,Z,0,0,0,0,0,0,0
Tutzing,Starnberg,71,MuenchenLandI,464,903,1033,1233,1303,1468,1632,1900,2064,OB,11.28027,47.90972,DEBKGGND000002GQ,Tutzing,E,6395.88,1,M,277,4080.2,1572.31,408,37700,9335,5644
Uffenheim,Uffenheim,24,Uffenheim,1728,2087,2255,2314,2378,2322,2306,2325,2389,MF,10.23277,49.54472,DEBKGGND000000HK,Uffenheim,E,11724.68,0,Wg,383,7305.92,2755.26,500,75076,10885,2568
Unsleben,BadNeustadtSaale,178,NeustadtSaale,910,863,878,818,796,852,886,875,893,UF,10.25611,50.37805,DEBKGGND00000K70,Unsleben,E,3726.44,1,B,191,2486.97,1641.54,267,17315,12518,3670
Velden,Vilsbiburg,47,Vilsbiburg,975,1282,1333,1381,1416,1411,1447,1613,1671,NB,12.25361,48.36555,DEBKGGND00000AP9,Velden,E,4360.54,0,N,22,143.92,46.93,108,6444,1670,617
Viechtach,Viechtach,46,Viechtach,1499,1789,1843,1915,1960,2015,2089,2174,2241,NB,12.88388,49.08166,DEBKGGND00000L8T,Viechtach,E,6785.07,0,Z,0,0,0,0,0,0,0
Vilsbiburg,Vilsbiburg,47,Vilsbiburg,1375,2094,2438,2472,2580,2723,2789,2947,3093,NB,12.35388,48.45,DEBKGGND00000S5Z,Vilsbiburg,E,12447.35,0,Z,0,0,0,0,0,0,0
Vilseck,Amberg,103,AmbergLand,1286,1190,1197,1146,1189,1171,1182,1239,1213,OP,11.80527,49.61083,DEBKGGND00000TQ0,Vilseck,E,3967.05,0,N,301,4568.3,3205.23,296,20278,6419,2181
Vilshofen,Vilshofen,48,Vilshofen,2135,2906,3034,3148,3397,3432,3468,3630,3768,NB,13.18138,48.63222,DEBKGGND00000T7G,Vilshofen an der Donau,E,18361.34,0,Rg,553,42596.3,34889.95,575,235331,43827,31216
Vohenstrauss,Vohenstrauss,119,Vohenstrauss,1380,1622,1748,1746,1797,1785,1853,2106,2159,OP,12.34194,49.62277,DEBKGGND00000XPQ,Vohenstrauß,E,8736,0,Z,0,0,0,0,0,0,0
Volkach,Gerolzhofen,167,Gerolzhofen,1895,1892,1966,1968,1914,1916,1899,1919,1952,UF,10.22611,49.86555,DEBKGGND000004N2,Volkach,E,5772.54,0,Z,0,0,0,0,0,0,0
Waging,Laufen,68,Laufen,607,800,869,831,829,865,921,1021,1014,OB,12.73388,47.93305,DEBKGGND00000EKO,Waging a. See,E,3176.58,0,Z,0,0,0,0,0,0,0
Waldfischbach,Pirmasens,127,Pirmasens,803,1075,1140,1160,1200,1291,1387,1554,1870,PF,7.653333,49.28305,DEBKGGND00000J9G,Waldfischbach-Burgalben,E,3877.72,0,Z,0,0,0,0,0,0,0
Waldkirchen,Wolfstein,49,Wolfstein,1078,1318,1336,1300,1281,1377,1467,1524,1519,NB,13.6025,48.72861,DEBKGGND00000OM9,Waldkirchen,E,5302.65,0,Z,0,0,0,0,0,0,0
Waldmohr,Kusel,124,Kusel,1247,1213,1307,1283,1299,1356,1600,1762,1910,PF,7.332777,49.38694,DEBKGGND00000VUS,Waldmohr,E,4137.11,0,Z,0,0,0,0,0,0,0
Waldmuenchen,Waldmuenchen,120,Waldmuenchen,2302,2759,2953,2978,2961,2923,2817,2870,2884,OP,12.70555,49.37555,DEBKGGND000000W8,Waldmünchen,E,7631.25,0,Z,0,0,0,0,0,0,0
Waldsassen,Tirschenreuth,118,Tirschenreuth,2279,2559,2769,2862,3105,3613,3860,4457,4889,OP,12.30527,50.00305,DEBKGGND00000DO6,Waldsassen,E,8313.44,0,Z,0,0,0,0,0,0,0
Wasserburg,Wasserburg,78,Wasserburg,2293,3633,3655,3664,3513,3611,3745,3925,4005,OB,12.23222,48.06083,DEBKGGND000008VB,Wasserburg a. Inn,E,13658.12,1,Rm,468,12726.05,9372.56,473,59296,38341,8843
Wegscheid,Wegscheid,41,PassauWegscheid,1037,1316,1286,1268,1307,1267,1170,1178,1172,NB,13.78833,48.60111,DEBKGGND00000XGD,Wegscheid,E,5121.07,0,Z,0,0,0,0,0,0,0
Weiden,Weiden,112,NeustadtWN,2284,4172,4858,8549,5818,6963,9959,12418,14921,OP,12.16,49.67583,DEBKGGND00000N0L,Weiden i.d. OPf.,E,26582.79,0,Wn,540,32579.12,10131.8,582,287942,81560,73961
Weiler,Lindau,149,LindauLand,596,881,902,938,1017,1100,1183,1283,1416,SC,10.26777,47.47166,DEBKGGND00000WA0,Weiler,E,8024.3,0,Z,0,0,0,0,0,0,0
Weilheim,Weilheim,79,Weilheim,2247,3858,3829,3884,3939,4047,4466,4902,5249,OB,11.14166,47.84055,DEBKGGND00000FNV,Weilheim i. OB,E,16367.08,1,M,478,13968.77,8962.91,511,87039,28803,15479
Weismain,Lichtenfels,93,Lichtenfels,1264,1171,1230,1189,1130,1105,1047,1011,992,OF,11.24138,50.085,DEBKGGND00000S4R,Weismain,E,3901.5,0,Z,0,0,0,0,0,0,0
Weissenburg,Weissenburg,9,Weissenburg,4927,5203,5737,6025,6112,6315,6550,6709,7189,MF,10.97166,49.03277,DEBKGGND00000F4H,Weißenburg i. Bay.,E,24151.05,0,I,471,12981.88,5741.23,540,119810,20065,13927
Weissenstadt,Wunsiedel,100,Wunsiedel,2371,2711,2745,2669,2596,2456,2655,2820,2869,OF,11.88472,50.10138,DEBKGGND000007AV,Weißenstadt,E,5253.81,0,Z,0,0,0,0,0,0,0
Weitnau,Kempten,147,KemptenLand,1547,1589,1627,1636,1677,1731,1719,1693,1760,SC,10.12694,47.64055,DEBKGGND00000OZM,Weitnau,E,2187.4,0,Z,0,0,0,0,0,0,0
Wendelstein,Schwabach,23,SchwabachLand,1307,1339,1347,1394,1433,1718,1600,1600,1628,MF,11.14555,49.355,DEBKGGND00000QIN,Wendelstein,E,1134.52,0,Z,0,0,0,0,0,0,0
Werneck,Schweinfurt,181,SchweinfurtLand,440,1149,1214,1235,1303,1428,1568,1818,2017,UF,10.09972,49.9825,DEBKGGND000003WO,Werneck,E,5070.38,0,Z,0,0,0,0,0,0,0
Wertingen,Wertingen,157,Wertingen,1651,1778,1878,1872,1824,1866,1822,2026,2146,SC,10.68222,48.56194,DEBKGGND00000S4Q,Wertingen,E,6154.04,0,Z,0,0,0,0,0,0,0
Wilhermsdorf,NeustadtAisch,19,NeustadtAisch,1172,1326,1351,1304,1232,1298,1398,1448,1419,MF,10.71416,49.48222,DEBKGGND00000NAQ,Wilhermsdorf,E,2000.7,0,Z,0,0,0,0,0,0,0
Windischeschenbach,NeustadtWaldnaab,112,NeustadtWN,946,1210,1298,1410,1532,1576,1662,1930,2113,OP,12.15555,49.80333,DEBKGGND000008OW,Windischeschenbach,E,2125.04,0,Wn,457,11316.76,2833.81,437,45002,5393,1732
Windsbach,Ansbach,10,AnsbachLand,1340,1460,1521,1562,1556,1623,1583,1575,1645,MF,10.82666,49.24833,DEBKGGND00000GRR,Windsbach,E,3109.04,0,Z,0,0,0,0,0,0,0
Windsheim,Uffenheim,24,Uffenheim,3151,3658,3726,3611,3519,3472,3558,3574,3654,MF,10.41694,49.5025,DEBKGGND00000ACH,Bad Windsheim,E,10144,0,Wg,390,7609.61,4535.86,438,45214,10657,2455
Winnweiler,Rockenhausen,123,Kaiserslautern,1314,1508,1547,1642,1666,1708,1642,1633,1668,PF,7.852222,49.56833,DEBKGGND00000VGD,Winnweiler,E,8196.05,0,Z,0,0,0,0,0,0,0
Woerishofen,Mindelheim,152,Mindelheim,811,973,1018,1030,1478,2743,2472,2660,3103,SC,10.5925,48.00277,DEBKGGND000006VF,,E,1238.4,0,Z,0,0,0,0,0,0,0
WoerthDonau,Regensburg,114,RegensburgLand,1178,1446,1547,1519,1544,1537,1541,1584,1542,OP,12.40055,49.00027,DEBKGGND00000UGT,Wörth a.d. Donau,E,4199.1,0,Z,0,0,0,0,0,0,0
WoerthIsar,Landshut,39,LandshutLand,170,270,320,344,371,381,341,351,391,NB,12.33888,48.62277,DEBKGGND000000HQ,Wörth a.d. Isar,E,2433.43,1,Rg,190,2452.25,1572.33,259,16467,4300,1089
Wolfratshausen,Muenchen,71,MuenchenLandI,1363,1767,1693,1586,1752,1764,1739,1973,2100,OB,11.42055,47.9125,DEBKGGND00000F10,Wolfratshausen,E,6970.98,0,Z,0,0,0,0,0,0,0
Wolfstein,Kusel,124,Kusel,1013,1077,1195,1152,1108,1098,1100,1202,1170,PF,7.606111,49.58361,DEBKGGND0000093Q,Wolfstein,E,5824.76,0,Z,0,0,0,0,0,0,0
Wuerzburg,Wuerzburg,162,Wuerzburg,26814,44975,51014,55010,61039,68747,75499,80327,84496,UF,9.928611,49.79305,DEBKGGND00000162,Würzburg,HE,418418.28,0,Wg,587,157567.28,39542.29,619,2368952,359275,438264
Wunsiedel,Wunsiedel,100,Wunsiedel,3729,3877,4065,3699,3775,4492,4953,5541,5876,OF,12.00472,50.03861,DEBKGGND00000UQN,Wunsiedel,E,15492.34,0,Wn,486,14969.28,8368.89,489,71041,22225,7445
Zweibruecken,Zweibruecken,129,ZweibrueckenStIngbert,7578,9248,10382,10665,11204,12000,13716,14711,15250,PF,7.363055,49.24916,DEBKGGND00000A6I,Zweibrücken,V,76048.33,0,Z,0,0,0,0,0,0,0
Zwiesel,Regen,43,Regen,1681,3152,3128,3251,3446,3512,3776,3975,4075,NB,13.23333,49.01444,DEBKGGND000001VI,Zwiesel,E,14338.37,0,Rm,550,36754.46,27072.4,536,113854,65892,30982
